Tag,Label
10244,Taxonomy4 § Travel § Vacation § Camping Holiday Intender
10245,Taxonomy4 § Travel § Interest § Accommodation § Holiday w. Friends
10252,Taxonomy3 § Retired Segments § Online Gamer
10253,Taxonomy3 § Retired Segments § Tablet § Tablet User
10254,Taxonomy3 § Retired Segments § Internet and TV § Internet § Use § Streamed Media Listener
10260,Taxonomy3 § Retired Segments § Internet and TV § TV § Purchase  § TV Intender
10287,Taxonomy4 § Entertainment § Online § News
10288,Taxonomy3 § Retired Segments § Internet and TV § Internet § Use § Online Photosharer
10289,Taxonomy4 § Entertainment § Online § Sports
10293,Taxonomy4 § Entertainment § Interest § Media § Newspapers
10294,Taxonomy3 § Retired Segments § Home & Garden § Shopping § Home Appliances Buyer
10306,Taxonomy4 § Entertainment § Interest § Tickets § Gym
10312,Taxonomy4 § Retail & Consumer Goods § Electronics § Frequent Computer User
10315,Taxonomy3 § Retired Segments § Internet and TV § TV § Genre § Drama and Soaps TV Watcher § Drama TV Watcher
10316,Taxonomy3 § Retired Segments § Internet and TV § TV § Genre § Drama and Soaps TV Watcher § Soap TV Watcher
10317,Taxonomy3 § Retired Segments § Internet and TV § TV § Genre § Drama and Soaps TV Watcher § Period Drama TV Watcher
10318,Taxonomy3 § Retired Segments § Internet and TV § TV § Genre § Entertainment TV Watcher § Reality TV Watcher
10319,Taxonomy3 § Retired Segments § Internet and TV § TV § Genre § Entertainment TV Watcher § Comedy TV Watcher
10320,Taxonomy3 § Retired Segments § Internet and TV § TV § Genre § Entertainment TV Watcher § Talk Show TV Watcher
10321,Taxonomy4 § Travel § Vacation § Type § Beach Holiday Taker
10327,Taxonomy4 § Travel § Interest § Accommodation § Hostel
10328,Taxonomy4 § Travel § Interest § Accommodation § Private Home
10329,Taxonomy4 § Travel § Interest § Accommodation § Resort
10330,Taxonomy4 § Travel § Interest § Accommodation § B & B
10331,Taxonomy4 § Travel § Interest § Accommodation § Motel
10332,Taxonomy4 § Travel § Interest § Accommodation § Chalet
10336,Taxonomy4 § Entertainment § Online § Chat
10350,Taxonomy5 § Personality Axes § Active
10355,Taxonomy5 § Personality Axes § Passive
10476,Taxonomy4 § Entertainment § Sport § Football
10478,Taxonomy4 § Entertainment § Sport § Outdoor
10480,Taxonomy4 § Entertainment § Sport § Running
10481,Taxonomy4 § Entertainment § Sport § Gym
10483,Taxonomy4 § Demographics § Education § Other
10484,Taxonomy4 § Demographics § Education § Secondary or High School
10485,Taxonomy4 § Demographics § Education § Vocational
10486,Taxonomy4 § Demographics § Education § University
10487,Taxonomy4 § Demographics § Education § Masters
10489,Taxonomy4 § Lifestyle § Celebrity Enthusiast
10490,Taxonomy4 § Lifestyle § Food Enthusiast
10491,Taxonomy4 § Retail & Consumer Goods § Shopping Enthusiast
10492,Taxonomy4 § Lifestyle § Health & Wellbeing Enthusiast
10493,Taxonomy4 § Lifestyle § News & Politics Enthusiast
10496,Taxonomy4 § Lifestyle § Fashion Enthusiast
10498,Taxonomy4 § Entertainment § Sports Enthusiast
10503,Taxonomy4 § Lifestyle § Family Oriented
10504,Taxonomy3 § Retired Segments § Internet and TV § TV § Genre § Entertainment TV Watcher § Game Show TV Watcher
10511,VisualDNA § Auto § Motorcycle Owner
10567,Taxonomy4 § Brand § Online Store § Google Play
10577,Taxonomy4 § Brand § Online Store § Apple iTunes
10580,Taxonomy4 § Brand § Streamed Media § Amazon Prime
10581,Taxonomy4 § Brand § Streamed Media § Netflix
10604,Taxonomy4 § Brand § Online Store § Amazon
10629,Taxonomy4 § Entertainment § Magazines § Womens
10630,Taxonomy4 § Entertainment § Magazines § Mens
10631,Taxonomy4 § Entertainment § Magazines § Politics
10632,Taxonomy4 § Entertainment § Magazines § Science
10634,Taxonomy4 § Entertainment § Magazines § Fashion
10635,Taxonomy4 § Entertainment § Magazines § Consumer-Focused
10636,Taxonomy4 § Entertainment § Magazines § Senior-Focused
10637,Taxonomy4 § Entertainment § Magazines § Celebrity
10639,Taxonomy4 § Entertainment §  Magazines § Food & Wine
10640,Taxonomy4 § Entertainment § Magazines § Literary and Arts
10641,Taxonomy3 § Retired Segments § Games Magazine Reader
10653,Taxonomy4 § Lifestyle § Nightlife Enthusiast
10723,Taxonomy4 § Lifestyle § Art Enthusiast
10739,Taxonomy5 § Big5extended § Self-Control § Impulsive
10740,Taxonomy5 § Big5extended § Self-Control § Reserved
10741,Taxonomy5 § Big5extended § Self-Control § Determined
10742,Taxonomy5 § Big5extended § Self-Control § Relaxed
10743,Taxonomy5 § Big5extended § Outlook § Realist
10744,Taxonomy5 § Big5extended § Outlook § Emotional
10745,Taxonomy5 § Big5extended § Outlook § Cool-headed
10746,Taxonomy5 § Big5extended § Outlook § Optimist
10747,Taxonomy5 § Big5extended § Action § Spontaneous
10748,Taxonomy5 § Big5extended § Action § Influential
